
 Block_Name=01	 Block_Index=0	 Block_Tier=3
 Block_Name=02	 Block_Index=1	 Block_Tier=1
 Block_Name=03	 Block_Index=2	 Block_Tier=4
 Block_Name=04	 Block_Index=3	 Block_Tier=3
 Block_Name=05	 Block_Index=4	 Block_Tier=4
 Block_Name=06	 Block_Index=5	 Block_Tier=0
 Block_Name=07	 Block_Index=6	 Block_Tier=0
 Block_Name=08	 Block_Index=7	 Block_Tier=1
 Block_Name=09	 Block_Index=8	 Block_Tier=3
 Block_Name=10	 Block_Index=9	 Block_Tier=2
 Block_Name=11	 Block_Index=10	 Block_Tier=3
 Block_Name=12	 Block_Index=11	 Block_Tier=3
 Block_Name=13	 Block_Index=12	 Block_Tier=4
 Block_Name=14	 Block_Index=13	 Block_Tier=4
 Block_Name=15	 Block_Index=14	 Block_Tier=2
 Block_Name=16	 Block_Index=15	 Block_Tier=2
 Block_Name=17	 Block_Index=16	 Block_Tier=3
 Block_Name=18	 Block_Index=17	 Block_Tier=1
 Block_Name=19	 Block_Index=18	 Block_Tier=4
 Block_Name=20	 Block_Index=19	 Block_Tier=4
 Block_Name=21	 Block_Index=20	 Block_Tier=0
 Block_Name=22	 Block_Index=21	 Block_Tier=0
 Block_Name=23	 Block_Index=22	 Block_Tier=4
 Block_Name=24	 Block_Index=23	 Block_Tier=0
 Block_Name=25	 Block_Index=24	 Block_Tier=1
 Block_Name=26	 Block_Index=25	 Block_Tier=1
 Block_Name=27	 Block_Index=26	 Block_Tier=4
 Block_Name=28	 Block_Index=27	 Block_Tier=0
 Block_Name=29	 Block_Index=28	 Block_Tier=2
 Block_Name=30	 Block_Index=29	 Block_Tier=2
 Block_Name=31	 Block_Index=30	 Block_Tier=3
 Block_Name=32	 Block_Index=31	 Block_Tier=3
 Block_Name=33	 Block_Index=32	 Block_Tier=1
 Block_Name=34	 Block_Index=33	 Block_Tier=0
 Block_Name=35	 Block_Index=34	 Block_Tier=1
 Block_Name=36	 Block_Index=35	 Block_Tier=2
 Block_Name=37	 Block_Index=36	 Block_Tier=0
 Block_Name=38	 Block_Index=37	 Block_Tier=2
 Block_Name=39	 Block_Index=38	 Block_Tier=2
 Block_Name=40	 Block_Index=39	 Block_Tier=1
 Block_Name=41	 Block_Index=40	 Block_Tier=4
 Block_Name=42	 Block_Index=41	 Block_Tier=0
 Block_Name=43	 Block_Index=42	 Block_Tier=1
 Block_Name=44	 Block_Index=43	 Block_Tier=3
 Block_Name=45	 Block_Index=44	 Block_Tier=2
 Block_Name=46	 Block_Index=45	 Block_Tier=2
 Block_Name=47	 Block_Index=46	 Block_Tier=0
 Block_Name=48	 Block_Index=47	 Block_Tier=3
 Block_Name=49	 Block_Index=48	 Block_Tier=1
